,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
1701,Jussier Formiga,Henry Cejudo,Blue,Flyweight,3,Orthodox,30.0,165.1,170.18,Orthodox,28.0,162.56,162.56
1702,Erick Montano,Enrique Marin,Red,Welterweight,4,Orthodox,30.0,182.88,185.42,,29.0,177.8,187.96
1703,Horacio Gutierrez,Enrique Barzola,Blue,Lightweight,4,,25.0,177.8,175.26,,26.0,170.18,177.8
1704,Efrain Escudero,Leandro Silva,Blue,Lightweight,3,Orthodox,29.0,175.26,177.8,Orthodox,30.0,175.26,182.88
1705,Erik Perez,Taylor Lapilus,Red,Bantamweight,3,Orthodox,26.0,172.72,172.72,Southpaw,23.0,167.64,185.42
1706,Hector Urbina,Bartosz Fabinski,Blue,Welterweight,3,Orthodox,28.0,180.34,185.42,Orthodox,29.0,182.88,190.5
1707,Alejandro Perez,Scott Jorgensen,Red,Bantamweight,3,Orthodox,26.0,167.64,170.18,Orthodox,33.0,165.1,167.64
1708,Gabriel Benitez,Andre Fili,Blue,Featherweight,3,Southpaw,27.0,172.72,180.34,Orthodox,25.0,180.34,187.96
1709,Vernon Ramos,Alvaro Herrera,Blue,Welterweight,3,Orthodox,23.0,167.64,182.88,,25.0,182.88,187.96
1710,Cesar Arzamendia,Polo Reyes,Blue,Lightweight,3,,24.0,180.34,180.34,,31.0,180.34,180.34
1711,Valmir Lazaro,Michel Prazeres,Blue,Lightweight,3,Orthodox,30.0,182.88,185.42,Orthodox,34.0,167.64,170.18
1712,Ronda Rousey,Holly Holm,Blue,Women's Bantamweight,5,Orthodox,28.0,170.18,172.72,Southpaw,34.0,172.72,175.26
1713,Joanna Jedrzejczyk,Valerie Letourneau,Red,Women's Strawweight,5,Orthodox,28.0,167.64,165.1,Orthodox,32.0,170.18,172.72
1714,Mark Hunt,Antonio Silva,Red,Heavyweight,3,Orthodox,41.0,177.8,182.88,Orthodox,36.0,193.04,203.2
1715,Uriah Hall,Robert Whittaker,Blue,Middleweight,3,Orthodox,31.0,182.88,200.66,Orthodox,24.0,182.88,185.42
1716,Stefan Struve,Jared Rosholt,Blue,Heavyweight,3,Orthodox,27.0,210.82,213.36,Orthodox,29.0,187.96,190.5
1717,Jake Matthews,Akbarh Arreola,Red,Lightweight,3,Orthodox,21.0,180.34,185.42,Southpaw,32.0,177.8,180.34
1718,Kyle Noke,Peter Sobotta,Red,Welterweight,3,Southpaw,35.0,185.42,193.04,Southpaw,28.0,182.88,190.5
1719,Anthony Perosh,Gian Villante,Blue,Light Heavyweight,3,Orthodox,43.0,190.5,190.5,Orthodox,30.0,190.5,193.04
1720,Richie Vaculik,Danny Martinez,Blue,Flyweight,3,Orthodox,32.0,167.64,175.26,Orthodox,30.0,167.64,170.18
1721,Daniel Kelly,Steve Montgomery,Red,Middleweight,3,Southpaw,38.0,182.88,177.8,Southpaw,24.0,193.04,190.5
1722,Richard Walsh,Steve Kennedy,Red,Welterweight,3,,26.0,182.88,185.42,Orthodox,32.0,180.34,180.34
1723,James Moontasri,Anton Zafir,Red,Welterweight,3,Switch,27.0,177.8,180.34,Orthodox,28.0,180.34,182.88
1724,Ben Nguyen,Ryan Benoit,Red,Flyweight,3,Switch,27.0,165.1,165.1,Orthodox,26.0,165.1,172.72
1725,Vitor Belfort,Dan Henderson,Red,Middleweight,5,Southpaw,38.0,182.88,187.96,Orthodox,45.0,180.34,187.96
1726,Glover Teixeira,Patrick Cummins,Red,Light Heavyweight,3,Orthodox,36.0,187.96,193.04,Orthodox,34.0,187.96,193.04
1727,Thomas Almeida,Anthony Birchak,Red,Bantamweight,3,Southpaw,24.0,170.18,177.8,Orthodox,29.0,172.72,175.26
1728,Alex Oliveira,Piotr Hallmann,Red,Lightweight,3,Orthodox,27.0,180.34,193.04,Orthodox,28.0,175.26,180.34
1729,Gilbert Burns,Rashid Magomedov,Blue,Lightweight,3,Orthodox,29.0,177.8,180.34,Orthodox,30.0,175.26,177.8
1730,Fabio Maldonado,Corey Anderson,Blue,Light Heavyweight,3,Orthodox,35.0,185.42,190.5,Orthodox,26.0,190.5,200.66
1731,Gleison Tibau,Abel Trujillo,Blue,Lightweight,3,Southpaw,32.0,177.8,180.34,Orthodox,32.0,172.72,177.8
1732,Yan Cabral,Johnny Case,Blue,Lightweight,3,Orthodox,32.0,180.34,185.42,Orthodox,26.0,177.8,182.88
1733,Clay Guida,Thiago Tavares,Blue,Featherweight,3,Orthodox,33.0,170.18,177.8,Orthodox,30.0,170.18,172.72
1734,Kevin Souza,Chas Skelly,Blue,Featherweight,3,Orthodox,31.0,182.88,187.96,Orthodox,30.0,180.34,182.88
1735,Viscardi Andrade,Gasan Umalatov,Red,Welterweight,3,Orthodox,31.0,180.34,190.5,Orthodox,33.0,180.34,180.34
1736,Pedro Munhoz,Jimmie Rivera,Blue,Bantamweight,3,Orthodox,29.0,167.64,165.1,Orthodox,26.0,162.56,172.72
1737,Bruno Korea,Matheus Nicolau,Blue,Bantamweight,3,,24.0,167.64,165.1,,22.0,167.64,167.64
1738,Paddy Holohan,Louis Smolka,Blue,Flyweight,3,Orthodox,27.0,177.8,175.26,Orthodox,24.0,175.26,172.72
1739,Norman Parke,Reza Madadi,Red,Lightweight,3,,28.0,180.34,177.8,Orthodox,37.0,180.34,182.88
1741,Neil Seery,Jon Delos Reyes,Red,Flyweight,3,Orthodox,36.0,162.56,162.56,Orthodox,28.0,167.64,170.18
1742,Stevie Ray,Mickael Lebout,Red,Lightweight,3,Southpaw,25.0,177.8,177.8,Orthodox,28.0,180.34,185.42
1743,Aisling Daly,Ericka Almeida,Red,Women's Strawweight,3,,27.0,157.48000000000005,162.56,,26.0,167.64,172.72
1744,Scott Askham,Krzysztof Jotko,Blue,Middleweight,3,Southpaw,27.0,190.5,190.5,Southpaw,26.0,185.42,195.58
1745,Cathal Pendred,Tom Breese,Blue,Welterweight,3,Orthodox,28.0,185.42,190.5,Southpaw,24.0,190.5,185.42
1746,Darren Elkins,Rob Whiteford,Red,Featherweight,3,Orthodox,31.0,177.8,180.34,Southpaw,32.0,175.26,175.26
1747,Bubba Bush,Garreth McLellan,Blue,Middleweight,3,Orthodox,30.0,182.88,185.42,Southpaw,33.0,185.42,182.88
1748,Daniel Cormier,Alexander Gustafsson,Red,Light Heavyweight,5,Orthodox,36.0,180.34,182.88,Orthodox,28.0,195.58,200.66
1749,Ryan Bader,Rashad Evans,Red,Light Heavyweight,3,Orthodox,32.0,187.96,187.96,Orthodox,36.0,182.88,190.5
1750,Shawn Jordan,Ruslan Magomedov,Blue,Heavyweight,3,Southpaw,30.0,182.88,190.5,Orthodox,28.0,190.5,198.12
1751,Joseph Benavidez,Ali Bagautinov,Red,Flyweight,3,Southpaw,31.0,162.56,165.1,Orthodox,30.0,162.56,165.1
1752,Jessica Eye,Julianna Pena,Blue,Women's Bantamweight,3,Orthodox,29.0,167.64,167.64,,26.0,167.64,175.26
1753,Yair Rodriguez,Dan Hooker,Red,Featherweight,3,,22.0,180.34,180.34,Switch,25.0,182.88,190.5
1754,Alan Jouban,Albert Tumenov,Blue,Welterweight,3,Southpaw,33.0,182.88,185.42,Orthodox,23.0,180.34,185.42
1755,Adriano Martins,Islam Makhachev,Red,Lightweight,3,Southpaw,32.0,177.8,182.88,Orthodox,23.0,177.8,177.8
1756,Rose Namajunas,Angela Hill,Red,Women's Strawweight,3,Orthodox,23.0,165.1,165.1,Orthodox,30.0,160.02,162.56
1757,Francisco Trevino,Sage Northcutt,Blue,Lightweight,3,Orthodox,33.0,175.26,177.8,Orthodox,19.0,182.88,180.34
1758,Chris Cariaso,Sergio Pettis,Blue,Flyweight,3,Southpaw,34.0,160.02,160.02,Orthodox,22.0,167.64,175.26
1759,Derrick Lewis,Viktor Pesta,Red,Heavyweight,3,Orthodox,30.0,190.5,200.66,Orthodox,25.0,190.5,195.58
1760,Josh Barnett,Roy Nelson,Red,Heavyweight,5,Orthodox,37.0,190.5,198.12,Orthodox,39.0,182.88,182.88
1761,Gegard Mousasi,Uriah Hall,Blue,Middleweight,3,Orthodox,30.0,187.96,193.04,Orthodox,31.0,182.88,200.66
1762,Kyoji Horiguchi,Chico Camus,Red,Flyweight,3,Orthodox,24.0,165.1,167.64,Orthodox,30.0,167.64,167.64
1763,Takeya Mizugaki,George Roop,Red,Bantamweight,3,Orthodox,31.0,170.18,172.72,Orthodox,33.0,185.42,182.88
1764,Katsunori Kikuno,Diego Brandao,Blue,Featherweight,3,Orthodox,33.0,172.72,167.64,Orthodox,28.0,170.18,172.72
1766,Keita Nakamura,Li Jingliang,Red,Welterweight,3,Southpaw,31.0,180.34,185.42,Orthodox,27.0,182.88,180.34
1767,Nick Hein,Yusuke Kasuya,Red,Lightweight,3,Southpaw,31.0,167.64,167.64,Southpaw,25.0,170.18,170.18
1768,Naoyuki Kotani,Kajan Johnson,Blue,Lightweight,3,Southpaw,33.0,172.72,167.64,Orthodox,31.0,180.34,190.5
1769,Shinsho Anzai,Roger Zapata,Red,Welterweight,3,Orthodox,29.0,170.18,177.8,Southpaw,29.0,180.34,187.96
1770,Demetrious Johnson,John Dodson,Red,Flyweight,5,Orthodox,29.0,160.02,167.64,Orthodox,30.0,160.02,167.64
1771,Andrei Arlovski,Frank Mir,Red,Heavyweight,3,Orthodox,36.0,190.5,195.58,Southpaw,36.0,190.5,200.66
1772,Anthony Johnson,Jimi Manuwa,Red,Light Heavyweight,3,Orthodox,31.0,187.96,198.12,Orthodox,35.0,185.42,200.66
1773,Jan Blachowicz,Corey Anderson,Blue,Light Heavyweight,3,Orthodox,32.0,187.96,198.12,Orthodox,25.0,190.5,200.66
1774,Paige VanZant,Alex Chambers,Red,Women's Strawweight,3,Orthodox,21.0,162.56,165.1,,36.0,160.02,160.02
1775,Ross Pearson,Paul Felder,Red,Lightweight,3,Orthodox,30.0,172.72,175.26,Orthodox,31.0,180.34,177.8
1776,Francisco Rivera,John Lineker,Blue,Bantamweight,3,Orthodox,33.0,172.72,172.72,Orthodox,25.0,160.02,170.18
1777,Jessica Andrade,Raquel Pennington,Blue,Women's Bantamweight,3,Orthodox,23.0,154.94,157.48,Orthodox,26.0,170.18,170.18
1778,Clay Collard,Tiago Trator,Blue,Featherweight,3,Orthodox,22.0,180.34,185.42,Orthodox,28.0,175.26,177.8
1779,Joe Riggs,Ron Stallings,Red,Middleweight,3,Southpaw,32.0,182.88,177.8,Southpaw,32.0,187.96,190.5
1780,Joaquim Silva,Nazareno Malegarie,Red,Lightweight,3,,26.0,172.72,175.26,,29.0,172.72,177.8
1781,Max Holloway,Charles Oliveira,Red,Featherweight,5,Orthodox,23.0,180.34,175.26,Orthodox,25.0,177.8,187.96
1782,Neil Magny,Erick Silva,Red,Welterweight,3,Orthodox,28.0,190.5,203.2,Orthodox,31.0,182.88,187.96
1783,Patrick Cote,Joshua Burkman,Red,Welterweight,3,Orthodox,35.0,180.34,180.34,Orthodox,35.0,177.8,182.88
1784,Chad Laprise,Francisco Trinaldo,Blue,Lightweight,3,Orthodox,29.0,177.8,180.34,Southpaw,36.0,175.26,177.8
1785,Olivier Aubin-Mercier,Tony Sims,Red,Lightweight,3,Southpaw,26.0,175.26,177.8,Southpaw,29.0,180.34,177.8
1786,Maryna Moroz,Valerie Letourneau,Blue,Women's Strawweight,3,Orthodox,23.0,170.18,170.18,Orthodox,32.0,170.18,172.72
1787,Sam Stout,Frankie Perez,Blue,Lightweight,3,Orthodox,31.0,175.26,177.8,Orthodox,26.0,180.34,185.42
1788,Yves Jabouin,Felipe Arantes,Blue,Bantamweight,3,Orthodox,36.0,170.18,172.72,Orthodox,27.0,172.72,185.42
1789,Marcos Rogerio de Lima,Nikita Krylov,Blue,Light Heavyweight,3,Orthodox,30.0,185.42,190.5,Orthodox,23.0,190.5,195.58
1790,Chris Kelades,Chris Beal,Red,Flyweight,3,Orthodox,34.0,170.18,172.72,Orthodox,30.0,170.18,175.26
1791,Shane Campbell,Elias Silverio,Red,Lightweight,3,Orthodox,28.0,182.88,180.34,Orthodox,28.0,180.34,185.42
1792,Misha Cirkunov,Daniel Jolly,Red,Light Heavyweight,3,Orthodox,28.0,190.5,195.58,Orthodox,30.0,185.42,190.5
1793,Glover Teixeira,Ovince Saint Preux,Red,Light Heavyweight,5,Orthodox,35.0,187.96,193.04,Southpaw,32.0,190.5,203.2
1794,Michael Johnson,Beneil Dariush,Blue,Lightweight,3,Southpaw,29.0,177.8,185.42,Southpaw,26.0,177.8,182.88
1795,Derek Brunson,Sam Alvey,Red,Middleweight,3,Southpaw,31.0,185.42,195.58,Southpaw,29.0,187.96,190.5
1796,Jared Rosholt,Tim Johnson,Red,Heavyweight,3,Orthodox,29.0,187.96,190.5,Southpaw,30.0,190.5,195.58
1797,Sara McMann,Amanda Nunes,Blue,Women's Bantamweight,3,Orthodox,34.0,167.64,167.64,Orthodox,27.0,172.72,175.26
1798,Ray Borg,Geane Herrera,Red,Flyweight,3,Orthodox,22.0,162.56,160.02,Orthodox,25.0,165.1,167.64
1799,Uriah Hall,Oluwale Bamgbose,Red,Middleweight,3,Orthodox,31.0,182.88,200.66,Switch,28.0,180.34,198.12
1800,Chris Camozzi,Tom Watson,Red,Middleweight,3,Orthodox,28.0,187.96,193.04,Orthodox,33.0,185.42,185.42
1801,Dustin Ortiz,Willie Gates,Red,Flyweight,3,Orthodox,26.0,165.1,165.1,Orthodox,28.0,172.72,177.8
1802,Frankie Saenz,Sirwan Kakai,Red,Bantamweight,3,Orthodox,34.0,167.64,167.64,Orthodox,25.0,165.1,167.64
1803,Chris Dempsey,Jonathan Wilson,Blue,Light Heavyweight,3,Orthodox,27.0,177.8,182.88,Southpaw,28.0,187.96,190.5
1804,Marlon Vera,Roman Salazar,Red,Bantamweight,3,Switch,22.0,172.72,177.8,Orthodox,27.0,170.18,170.18
1805,Anthony Christodoulou,Scott Holtzman,Blue,Lightweight,3,Orthodox,28.0,175.26,182.88,Orthodox,31.0,175.26,175.26
1806,Ronda Rousey,Bethe Correia,Red,Women's Bantamweight,5,Orthodox,28.0,170.18,172.72,Orthodox,32.0,165.1,162.56
1807,Mauricio Rua,Rogerio Nogueira,Red,Light Heavyweight,3,Orthodox,33.0,185.42,193.04,Southpaw,39.0,187.96,190.5
1808,Glaico Franca,Fernando Bruno,Red,Lightweight,4,,24.0,182.88,195.58,,33.0,167.64,177.8
1809,Reginaldo Vieira,Dileno Lopes,Red,Bantamweight,4,,32.0,170.18,165.1,,30.0,165.1,165.1
1810,Stefan Struve,Minotauro Nogueira,Red,Heavyweight,3,Orthodox,27.0,210.82,213.36,Orthodox,39.0,190.5,195.58
1811,Antonio Silva,Soa Palelei,Red,Heavyweight,3,Orthodox,35.0,193.04,203.2,Orthodox,38.0,193.04,205.74
1812,Claudia Gadelha,Jessica Aguilar,Red,Women's Strawweight,3,Orthodox,26.0,162.56,160.02,Orthodox,33.0,160.02,160.02
1813,Demian Maia,Neil Magny,Red,Welterweight,3,Southpaw,37.0,185.42,182.88,Orthodox,27.0,190.5,203.2
1814,Rafael Feijao,Patrick Cummins,Blue,Light Heavyweight,3,Orthodox,35.0,185.42,185.42,Orthodox,34.0,187.96,193.04
1815,Warlley Alves,Nordine Taleb,Red,Welterweight,3,Orthodox,24.0,180.34,182.88,Orthodox,34.0,185.42,187.96
1816,Iuri Alcantara,Leandro Issa,Red,Bantamweight,3,Southpaw,34.0,175.26,180.34,Orthodox,31.0,170.18,175.26
1817,Vitor Miranda,Clint Hester,Red,Middleweight,3,Orthodox,36.0,185.42,195.58,Orthodox,28.0,187.96,195.58
1818,Hugo Viana,Guido Cannetti,Blue,Bantamweight,3,Orthodox,32.0,167.64,170.18,Southpaw,35.0,167.64,172.72
1819,TJ Dillashaw,Renan Barao,Red,Bantamweight,5,Orthodox,29.0,167.64,170.18,Orthodox,28.0,167.64,177.8
1820,Miesha Tate,Jessica Eye,Red,Women's Bantamweight,3,Orthodox,28.0,167.64,165.1,Orthodox,28.0,167.64,167.64
1821,Edson Barboza,Paul Felder,Red,Lightweight,3,Orthodox,29.0,180.34,190.5,Orthodox,31.0,180.34,177.8
1822,Joe Lauzon,Takanori Gomi,Red,Lightweight,3,Orthodox,31.0,177.8,180.34,Southpaw,36.0,170.18,177.8
1823,Gian Villante,Tom Lawlor,Blue,Light Heavyweight,3,Orthodox,29.0,190.5,193.04,Southpaw,32.0,182.88,187.96
1824,Jim Miller,Danny Castillo,Red,Lightweight,3,Southpaw,31.0,172.72,180.34,Orthodox,35.0,175.26,180.34
1825,Kenny Robertson,Ben Saunders,Blue,Welterweight,3,Orthodox,31.0,177.8,187.96,Orthodox,32.0,187.96,195.58
1826,Eddie Wineland,Bryan Caraway,Blue,Bantamweight,3,Orthodox,31.0,170.18,175.26,Orthodox,30.0,172.72,172.72
1827,Daron Cruickshank,James Krause,Blue,Lightweight,3,Switch,30.0,172.72,182.88,Orthodox,29.0,187.96,185.42
1828,Ramsey Nijem,Andrew Holbrook,Blue,Lightweight,3,Orthodox,27.0,180.34,190.5,Southpaw,29.0,180.34,177.8
1829,Jessamyn Duke,Elizabeth Phillips,Blue,Women's Bantamweight,3,,29.0,180.34,185.42,Orthodox,28.0,167.64,165.1
1830,Zak Cummings,Dominique Steele,Red,Middleweight,3,Southpaw,30.0,182.88,190.5,Orthodox,27.0,177.8,187.96
1831,Michael Bisping,Thales Leites,Red,Middleweight,5,Orthodox,36.0,185.42,190.5,Orthodox,33.0,185.42,198.12
1832,Ross Pearson,Evan Dunham,Blue,Lightweight,3,Orthodox,30.0,172.72,175.26,Southpaw,33.0,177.8,177.8
1833,Joe Duffy,Ivan Jorge,Red,Lightweight,3,Orthodox,27.0,177.8,185.42,Orthodox,34.0,175.26,185.42
1834,Joanne Calderwood,Cortney Casey,Red,Women's Strawweight,3,Orthodox,29.0,167.64,165.1,Orthodox,28.0,170.18,170.18
1835,Leon Edwards,Pawel Pawlak,Red,Welterweight,3,Southpaw,23.0,182.88,187.96,Orthodox,26.0,182.88,185.42
1836,Stevie Ray,Leonardo Mafra,Red,Lightweight,3,Southpaw,25.0,177.8,177.8,Orthodox,26.0,177.8,177.8
1837,Paddy Holohan,Vaughan Lee,Red,Flyweight,3,Orthodox,27.0,177.8,175.26,Orthodox,32.0,167.64,167.64
1838,Ilir Latifi,Hans Stringer,Red,Light Heavyweight,3,Orthodox,31.0,177.8,185.42,Orthodox,28.0,190.5,185.42
1839,Mickael Lebout,Teemu Packalen,Red,Lightweight,3,Orthodox,27.0,180.34,185.42,Orthodox,28.0,185.42,182.88
1840,Rob Whiteford,Paul Redmond,Red,Featherweight,3,Southpaw,32.0,175.26,175.26,Orthodox,28.0,177.8,177.8
1841,Marcus Brimage,Jimmie Rivera,Blue,Bantamweight,3,Southpaw,30.0,162.56,180.34,Orthodox,26.0,162.56,172.72
1842,Daniel Omielanczuk,Chris de la Rocha,Red,Heavyweight,3,Southpaw,32.0,182.88,187.96,Orthodox,36.0,190.5,203.2
1843,Frank Mir,Todd Duffee,Red,Heavyweight,5,Southpaw,36.0,190.5,200.66,Orthodox,29.0,190.5,200.66
1844,Josh Thomson,Tony Ferguson,Blue,Lightweight,3,Orthodox,36.0,177.8,180.34,Orthodox,31.0,180.34,193.04
1845,Holly Holm,Marion Reneau,Red,Women's Bantamweight,3,Southpaw,33.0,172.72,175.26,Orthodox,38.0,167.64,172.72
1846,Scott Jorgensen,Manvel Gamburyan,Blue,Bantamweight,3,Orthodox,32.0,165.1,167.64,Orthodox,34.0,165.1,170.18
1847,Kevin Lee,James Moontasri,Red,Lightweight,3,Orthodox,22.0,175.26,195.58,Switch,27.0,177.8,180.34
1848,Alan Jouban,Matt Dwyer,Red,Welterweight,3,Southpaw,33.0,182.88,185.42,Orthodox,25.0,193.04,193.04
1849,Sam Sicilia,Yaotzin Meza,Red,Featherweight,3,Orthodox,29.0,172.72,170.18,Orthodox,34.0,175.26,187.96
1850,Jessica Andrade,Sarah Moras,Red,Women's Bantamweight,3,Orthodox,23.0,154.94,157.48,,27.0,170.18,170.18
1851,Rani Yahya,Masanori Kanehara,Red,Bantamweight,3,Orthodox,30.0,167.64,170.18,Orthodox,32.0,170.18,170.18
1852,Igor Araujo,Sean Strickland,Blue,Welterweight,3,Orthodox,34.0,185.42,195.58,Orthodox,24.0,185.42,193.04
1853,Kevin Casey,Ildemar Alcantara,Red,Middleweight,3,Southpaw,34.0,180.34,195.58,Orthodox,32.0,187.96,198.12
1854,Andrew Craig,Lyman Good,Blue,Welterweight,3,Orthodox,29.0,185.42,193.04,Orthodox,30.0,182.88,187.96
1855,Jake Ellenberger,Stephen Thompson,Blue,Welterweight,5,Orthodox,30.0,175.26,180.34,Orthodox,32.0,182.88,190.5
1856,Kamaru Usman,Hayder Hassan,Red,Welterweight,4,Switch,28.0,182.88,193.04,,32.0,177.8,177.8
1857,Michael Graves,Vicente Luque,Red,Welterweight,3,,24.0,177.8,180.34,Orthodox,23.0,180.34,190.5
1858,Jorge Masvidal,Cezar Ferreira,Red,Welterweight,3,Orthodox,30.0,180.34,187.96,Southpaw,30.0,185.42,198.12
1859,Angela Magana,Michelle Waterson,Blue,Women's Strawweight,3,,31.0,154.94,165.1,Orthodox,29.0,160.02,157.48
1860,Maximo Blanco,Mike de la Torre,Red,Featherweight,3,Orthodox,31.0,172.72,180.34,Orthodox,28.0,180.34,180.34
1861,Josh Samman,Caio Magalhaes,Red,Middleweight,3,Orthodox,27.0,190.5,200.66,Orthodox,27.0,185.42,185.42
1862,Russell Doane,Jerrod Sanders,Blue,Bantamweight,3,Orthodox,28.0,170.18,177.8,Orthodox,35.0,172.72,182.88
1863,Dan Miller,Trevor Smith,Blue,Middleweight,3,Orthodox,34.0,185.42,187.96,Orthodox,34.0,190.5,190.5
1864,George Sullivan,Dominic Waters,Red,Welterweight,3,Orthodox,34.0,182.88,185.42,Orthodox,26.0,185.42,200.66
1865,Darrell Montague,Willie Gates,Blue,Flyweight,3,Southpaw,27.0,167.64,170.18,Orthodox,28.0,172.72,177.8
1866,Chad Mendes,Conor McGregor,Blue,Featherweight,5,Orthodox,30.0,167.64,167.64,Southpaw,26.0,175.26,187.96
1867,Robbie Lawler,Rory MacDonald,Red,Welterweight,5,Southpaw,33.0,180.34,187.96,Orthodox,25.0,182.88,193.04
1868,Dennis Bermudez,Jeremy Stephens,Blue,Featherweight,3,Orthodox,28.0,167.64,167.64,Orthodox,29.0,172.72,180.34
1869,Gunnar Nelson,Brandon Thatch,Red,Welterweight,3,Switch,26.0,180.34,182.88,Switch,29.0,187.96,187.96
1870,Brad Pickett,Thomas Almeida,Blue,Bantamweight,3,Orthodox,36.0,167.64,172.72,Southpaw,23.0,170.18,177.8
1871,Matt Brown,Tim Means,Red,Welterweight,3,Orthodox,34.0,182.88,190.5,Orthodox,31.0,187.96,190.5
1872,Mike Swick,Alex Garcia,Blue,Welterweight,3,Orthodox,36.0,185.42,195.58,Orthodox,27.0,175.26,182.88
1873,Cathal Pendred,John Howard,Blue,Welterweight,3,Orthodox,27.0,185.42,190.5,Orthodox,32.0,170.18,180.34
1874,Cody Garbrandt,Henry Briones,Red,Bantamweight,3,Orthodox,24.0,172.72,165.1,,34.0,172.72,175.26
1875,Neil Seery,Louis Smolka,Blue,Flyweight,3,Orthodox,35.0,162.56,162.56,Orthodox,23.0,175.26,172.72
1876,Yosdenis Cedeno,Cody Pfister,Blue,Lightweight,3,Orthodox,30.0,172.72,175.26,Orthodox,24.0,177.8,185.42
1877,Lyoto Machida,Yoel Romero,Blue,Middleweight,5,Southpaw,37.0,185.42,187.96,Southpaw,38.0,182.88,185.42
1878,Santiago Ponzinibbio,Lorenz Larkin,Blue,Welterweight,3,Orthodox,28.0,182.88,185.42,Orthodox,28.0,180.34,182.88
1879,Antonio Carlos Junior,Eddie Gordon,Red,Middleweight,3,Orthodox,25.0,187.96,200.66,Orthodox,31.0,182.88,193.04
1880,Thiago Santos,Steve Bosse,Red,Middleweight,3,Orthodox,31.0,187.96,193.04,Orthodox,33.0,180.34,182.88
1881,Hacran Dias,Levan Makashvili,Red,Featherweight,3,Orthodox,31.0,172.72,175.26,Orthodox,26.0,172.72,172.72
1882,Alex Oliveira,Joe Merritt,Red,Welterweight,3,Orthodox,27.0,180.34,193.04,Orthodox,31.0,182.88,185.42
1883,Leandro Silva,Lewis Gonzalez,Red,Welterweight,3,Orthodox,29.0,175.26,182.88,Orthodox,27.0,177.8,185.42
1884,Steve Montgomery,Tony Sims,Blue,Welterweight,3,Southpaw,24.0,193.04,190.5,Southpaw,29.0,180.34,177.8
1885,Danny Martinez,Sirwan Kakai,Blue,Bantamweight,3,Orthodox,30.0,167.64,170.18,Orthodox,25.0,165.1,167.64
1886,Joanna Jedrzejczyk,Jessica Penne,Red,Women's Strawweight,5,Orthodox,27.0,167.64,165.1,,32.0,165.1,170.18
1887,Dennis Siver,Tatsuya Kawajiri,Blue,Featherweight,3,Orthodox,36.0,167.64,177.8,Orthodox,37.0,170.18,175.26
1888,Peter Sobotta,Steve Kennedy,Red,Welterweight,3,Southpaw,28.0,182.88,190.5,Orthodox,32.0,180.34,180.34
1889,Nick Hein,Lukasz Sajewski,Red,Lightweight,3,Southpaw,31.0,167.64,167.64,Orthodox,24.0,172.72,180.34
1890,Makwan Amirkhani,Masio Fullen,Red,Featherweight,3,Southpaw,26.0,177.8,182.88,Orthodox,28.0,177.8,177.8
1891,Mairbek Taisumov,Alan Patrick,Red,Lightweight,3,Orthodox,26.0,175.26,185.42,Southpaw,31.0,180.34,187.96
1892,Alan Omer,Arnold Allen,Blue,Featherweight,3,Orthodox,26.0,177.8,180.34,Southpaw,21.0,172.72,177.8
1893,Niklas Backstrom,Noad Lahat,Blue,Featherweight,3,Orthodox,25.0,185.42,187.96,Orthodox,31.0,175.26,175.26
1894,Scott Askham,Antonio Dos Santos,Red,Middleweight,3,Southpaw,27.0,190.5,190.5,Orthodox,26.0,177.8,182.88
1895,Piotr Hallmann,Magomed Mustafaev,Blue,Lightweight,3,Orthodox,27.0,175.26,180.34,Orthodox,26.0,172.72,180.34
1896,Taylor Lapilus,Ulka Sasaki,Red,Bantamweight,3,Southpaw,23.0,167.64,185.42,Southpaw,25.0,177.8,180.34
1897,Cain Velasquez,Fabricio Werdum,Blue,Heavyweight,5,Orthodox,32.0,185.42,195.58,Orthodox,37.0,193.04,195.58
1898,Gilbert Melendez,Eddie Alvarez,Blue,Lightweight,3,Orthodox,33.0,175.26,185.42,Orthodox,31.0,175.26,175.26
1899,Kelvin Gastelum,Nate Marquardt,Red,Middleweight,3,Southpaw,23.0,175.26,180.34,Orthodox,36.0,182.88,187.96
1900,Yair Rodriguez,Charles Rosa,Red,Featherweight,3,,22.0,180.34,180.34,Switch,28.0,175.26,175.26
1901,Tecia Torres,Angela Hill,Red,Women's Strawweight,3,Orthodox,25.0,154.94,152.4,Orthodox,30.0,160.02,162.56
1902,Henry Cejudo,Chico Camus,Red,Flyweight,3,Orthodox,28.0,162.56,162.56,Orthodox,30.0,167.64,167.64
1903,Efrain Escudero,Drew Dober,Red,Lightweight,3,Orthodox,29.0,175.26,177.8,Southpaw,26.0,172.72,177.8
1904,Alejandro Perez,Patrick Williams,Blue,Bantamweight,3,Orthodox,25.0,167.64,170.18,Orthodox,33.0,172.72,185.42
1905,Francisco Trevino,Johnny Case,Blue,Lightweight,3,Orthodox,33.0,175.26,177.8,Orthodox,25.0,177.8,182.88
1906,Augusto Montano,Cathal Pendred,Blue,Welterweight,3,Orthodox,30.0,185.42,185.42,Orthodox,27.0,185.42,190.5
1907,Gabriel Benitez,Clay Collard,Red,Featherweight,3,Southpaw,26.0,172.72,180.34,Orthodox,22.0,180.34,185.42
