,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
1124,Valentina Shevchenko,Julianna Pena,Red,Women's Bantamweight,5,Southpaw,28.0,165.1,167.64,,27.0,167.64,175.26
1125,Donald Cerrone,Jorge Masvidal,Blue,Welterweight,3,Orthodox,33.0,185.42,185.42,Orthodox,32.0,180.34,187.96
1126,Andrei Arlovski,Francis Ngannou,Blue,Heavyweight,3,Orthodox,37.0,190.5,195.58,Orthodox,30.0,193.04,210.82
1127,Alex Caceres,Jason Knight,Blue,Featherweight,3,Southpaw,28.0,177.8,185.42,Orthodox,24.0,177.8,180.34
1128,Nate Marquardt,Sam Alvey,Blue,Middleweight,3,Orthodox,37.0,182.88,187.96,Southpaw,30.0,187.96,190.5
1129,Raphael Assuncao,Aljamain Sterling,Red,Bantamweight,3,Orthodox,34.0,165.1,167.64,Orthodox,27.0,170.18,180.34
1130,Bobby Nash,Li Jingliang,Blue,Welterweight,3,Orthodox,26.0,182.88,187.96,Orthodox,28.0,182.88,180.34
1131,Henrique da Silva,Jordan Johnson,Blue,Light Heavyweight,3,Orthodox,27.0,190.5,193.04,Orthodox,28.0,187.96,200.66
1132,Eric Spicely,Alessio Di Chirico,Red,Middleweight,3,Orthodox,30.0,185.42,185.42,Orthodox,27.0,182.88,187.96
1133,Marcos Rogerio de Lima,Jeremy Kimball,Red,Light Heavyweight,3,Orthodox,31.0,185.42,190.5,Switch,26.0,182.88,182.88
1134,Alexandre Pantoja,Eric Shelton,Red,Flyweight,3,Orthodox,26.0,165.1,170.18,Orthodox,25.0,167.64,172.72
1135,Jason Gonzalez,JC Cottrell,Red,Lightweight,3,Southpaw,26.0,187.96,187.96,Orthodox,27.0,175.26,180.34
1136,Yair Rodriguez,BJ Penn,Red,Featherweight,5,,24.0,180.34,180.34,Orthodox,38.0,175.26,177.8
1137,Joe Lauzon,Marcin Held,Red,Lightweight,3,Orthodox,32.0,177.8,180.34,Orthodox,24.0,175.26,180.34
1138,Court McGee,Ben Saunders,Blue,Welterweight,3,Orthodox,32.0,180.34,190.5,Orthodox,33.0,187.96,195.58
1139,John Moraga,Sergio Pettis,Blue,Flyweight,3,Orthodox,32.0,167.64,167.64,Orthodox,23.0,167.64,175.26
1140,Devin Powell,Drakkar Klose,Blue,Lightweight,3,Orthodox,28.0,182.88,185.42,Orthodox,28.0,175.26,177.8
1141,Frankie Saenz,Augusto Mendes,Blue,Bantamweight,3,Orthodox,36.0,167.64,167.64,Orthodox,33.0,167.64,165.1
1142,Aleksei Oleinik,Viktor Pesta,Red,Heavyweight,3,Orthodox,39.0,187.96,203.2,Orthodox,26.0,190.5,195.58
1143,Anthony Rocco Martin,Alex White,Red,Lightweight,3,Orthodox,27.0,182.88,185.42,Southpaw,28.0,182.88,180.34
1144,Jocelyn Jones-Lybarger,Nina Ansaroff,Blue,Women's Strawweight,3,Orthodox,31.0,170.18,162.56,Orthodox,31.0,165.1,162.56
1145,Walt Harris,Chase Sherman,Red,Heavyweight,3,Southpaw,33.0,195.58,195.58,Orthodox,27.0,193.04,198.12
1146,Bojan Mihajlovic,Joachim Christensen,Blue,Light Heavyweight,3,Orthodox,36.0,180.34,185.42,Orthodox,38.0,190.5,193.04
1147,Dmitrii Smoliakov,Cyril Asker,Blue,Heavyweight,3,Switch,34.0,187.96,187.96,Orthodox,31.0,182.88,187.96
1148,Amanda Nunes,Ronda Rousey,Red,Women's Bantamweight,5,Orthodox,28.0,172.72,175.26,Orthodox,29.0,170.18,172.72
1149,Dominick Cruz,Cody Garbrandt,Blue,Bantamweight,5,Orthodox,31.0,172.72,172.72,Orthodox,25.0,172.72,165.1
1150,TJ Dillashaw,John Lineker,Red,Bantamweight,3,Orthodox,30.0,167.64,170.18,Orthodox,26.0,160.02,170.18
1151,Dong Hyun Kim,Tarec Saffiedine,Red,Welterweight,3,Southpaw,35.0,187.96,193.04,Switch,30.0,177.8,177.8
1152,Louis Smolka,Ray Borg,Blue,Flyweight,3,Orthodox,25.0,175.26,172.72,Orthodox,23.0,162.56,160.02
1153,Johny Hendricks,Neil Magny,Blue,Welterweight,3,Southpaw,33.0,175.26,175.26,Orthodox,29.0,190.5,203.2
1154,Antonio Carlos Junior,Marvin Vettori,Red,Middleweight,3,Orthodox,26.0,187.96,200.66,Southpaw,23.0,182.88,187.96
1155,Mike Pyle,Alex Garcia,Blue,Welterweight,3,Orthodox,41.0,182.88,187.96,Orthodox,29.0,175.26,182.88
1156,Brandon Thatch,Niko Price,Blue,Welterweight,3,Switch,31.0,187.96,187.96,Orthodox,27.0,182.88,193.04
1158,Paige VanZant,Michelle Waterson,Blue,Women's Strawweight,5,Orthodox,22.0,162.56,165.1,Orthodox,30.0,160.02,157.48
1159,Sage Northcutt,Mickey Gall,Blue,Welterweight,3,Orthodox,20.0,182.88,180.34,Switch,24.0,187.96,187.96
1160,Urijah Faber,Brad Pickett,Red,Bantamweight,3,Orthodox,37.0,167.64,170.18,Orthodox,38.0,167.64,172.72
1161,Alan Jouban,Mike Perry,Red,Welterweight,3,Southpaw,35.0,182.88,185.42,Orthodox,25.0,177.8,180.34
1162,Henrique da Silva,Paul Craig,Blue,Light Heavyweight,3,Orthodox,27.0,190.5,193.04,Orthodox,29.0,190.5,193.04
1163,Cole Miller,Mizuto Hirota,Blue,Featherweight,3,Orthodox,32.0,185.42,187.96,Orthodox,35.0,170.18,170.18
1164,Bryan Barberena,Colby Covington,Blue,Welterweight,3,Southpaw,27.0,182.88,182.88,Orthodox,28.0,180.34,182.88
1165,James Moontasri,Alex Morono,Blue,Welterweight,3,Switch,28.0,177.8,180.34,Orthodox,26.0,180.34,182.88
1166,Josh Emmett,Scott Holtzman,Red,Lightweight,3,Orthodox,31.0,167.64,177.8,Orthodox,33.0,175.26,175.26
1167,Leslie Smith,Irene Aldana,Red,Women's Bantamweight,3,Orthodox,34.0,175.26,167.64,Orthodox,28.0,175.26,172.72
1168,Eddie Wineland,Takeya Mizugaki,Red,Bantamweight,3,Orthodox,32.0,170.18,175.26,Orthodox,33.0,170.18,172.72
1169,Hector Sandoval,Fredy Serrano,Red,Flyweight,3,Orthodox,30.0,157.48000000000005,162.56,Orthodox,37.0,160.02,165.1
1170,Bojan Velickovic,Sultan Aliev,Blue,Welterweight,3,Southpaw,27.0,182.88,193.04,Orthodox,32.0,180.34,187.96
1171,Max Holloway,Anthony Pettis,Red,Featherweight,5,Orthodox,25.0,180.34,175.26,Orthodox,29.0,177.8,182.88
1172,Donald Cerrone,Matt Brown,Red,Welterweight,3,Orthodox,33.0,185.42,185.42,Orthodox,35.0,182.88,190.5
1173,Cub Swanson,Dooho Choi,Red,Featherweight,3,Orthodox,33.0,172.72,177.8,Orthodox,25.0,177.8,177.8
1174,Tim Kennedy,Kelvin Gastelum,Blue,Middleweight,3,Orthodox,37.0,180.34,187.96,Southpaw,25.0,175.26,180.34
1175,Jordan Mein,Emil Meek,Blue,Welterweight,3,Orthodox,27.0,182.88,185.42,Switch,28.0,180.34,187.96
1176,Nikita Krylov,Misha Cirkunov,Blue,Light Heavyweight,3,Orthodox,24.0,190.5,195.58,Orthodox,29.0,190.5,195.58
1177,Olivier Aubin-Mercier,Drew Dober,Red,Lightweight,3,Southpaw,27.0,175.26,177.8,Southpaw,28.0,172.72,177.8
1178,Valerie Letourneau,Viviane Pereira,Blue,Women's Strawweight,3,Orthodox,33.0,170.18,172.72,Orthodox,23.0,154.94,160.02
1179,Mitch Gagnon,Matthew Lopez,Blue,Bantamweight,3,Southpaw,32.0,165.1,165.1,Southpaw,29.0,170.18,175.26
1180,John Makdessi,Lando Vannata,Blue,Lightweight,3,Orthodox,31.0,172.72,172.72,Orthodox,24.0,175.26,180.34
1181,Jason Saggo,Rustam Khabilov,Blue,Lightweight,3,Orthodox,31.0,180.34,180.34,Orthodox,30.0,172.72,185.42
1182,Zach Makovsky,Dustin Ortiz,Blue,Flyweight,3,Southpaw,33.0,162.56,162.56,Orthodox,27.0,165.1,165.1
1183,Derrick Lewis,Shamil Abdurakhimov,Red,Heavyweight,5,Orthodox,31.0,190.5,200.66,Orthodox,35.0,190.5,193.04
1184,Francis Ngannou,Anthony Hamilton,Red,Heavyweight,3,Orthodox,30.0,193.04,210.82,Orthodox,36.0,195.58,193.04
1185,Corey Anderson,Sean O'Connell,Red,Light Heavyweight,3,Orthodox,27.0,190.5,200.66,Orthodox,33.0,185.42,187.96
1186,Gian Villante,Saparbeg Safarov,Red,Light Heavyweight,3,Orthodox,31.0,190.5,193.04,Orthodox,30.0,185.42,198.12
