,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3040,John Hathaway,John Maguire,Red,Welterweight,3,25.0,185.42,190.5,29.0,175.26,175.26
3041,Che Mills,Duane Ludwig,Red,Welterweight,3,30.0,185.42,193.04,34.0,177.8,177.8
3042,Kyle Kingsbury,Jimi Manuwa,Blue,Light Heavyweight,3,30.0,193.04,193.04,32.0,185.42,200.66
3043,Andy Ogle,Akira Corassani,Blue,Featherweight,3,23.0,172.72,175.26,30.0,172.72,172.72
3044,Tom Watson,Brad Tavares,Blue,Middleweight,3,30.0,185.42,185.42,24.0,185.42,187.96
3045,DaMarques Johnson,Gunnar Nelson,Blue,Catch Weight,3,30.0,185.42,190.5,24.0,180.34,182.88
3046,Jason Young,Robert Peralta,Blue,Featherweight,3,26.0,175.26,185.42,26.0,172.72,180.34
3047,Jon Jones,Vitor Belfort,Red,Light Heavyweight,5,25.0,193.04,213.36,35.0,182.88,187.96
3048,Joseph Benavidez,Demetrious Johnson,Blue,Flyweight,5,28.0,162.56,165.1,26.0,160.02,167.64
3049,Michael Bisping,Brian Stann,Red,Middleweight,3,33.0,185.42,190.5,31.0,185.42,187.96
3050,Matt Hamill,Roger Hollett,Red,Light Heavyweight,3,35.0,185.42,193.04,33.0,180.34,177.8
3051,Cub Swanson,Charles Oliveira,Red,Featherweight,3,28.0,172.72,177.8,22.0,177.8,187.96
3052,Igor Pokrajac,Vinny Magalhaes,Blue,Light Heavyweight,3,33.0,182.88,193.04,28.0,190.5,200.66
3053,TJ Grant,Evan Dunham,Red,Lightweight,3,28.0,177.8,182.88,30.0,177.8,177.8
3054,Sean Pierson,Lance Benoist,Red,Welterweight,3,36.0,182.88,193.04,24.0,180.34,185.42
3055,Jimy Hettes,Marcus Brimage,Blue,Featherweight,3,25.0,175.26,180.34,27.0,162.56,180.34
3056,Seth Baczynski,Simeon Thoresen,Red,Welterweight,3,30.0,190.5,187.96,28.0,185.42,200.66
3057,Mitch Gagnon,Walel Watson,Red,Bantamweight,3,27.0,165.1,165.1,28.0,180.34,175.26
3058,Kyle Noke,Charlie Brenneman,Red,Welterweight,3,32.0,185.42,193.04,31.0,177.8,182.88
3059,Benson Henderson,Frankie Edgar,Red,Lightweight,5,28.0,175.26,177.8,30.0,167.64,172.72
3060,Donald Cerrone,Melvin Guillard,Red,Lightweight,3,29.0,185.42,185.42,29.0,175.26,172.72
3061,Yushin Okami,Buddy Roberts,Red,Middleweight,3,31.0,187.96,190.5,29.0,187.96,182.88
3062,Justin Lawrence,Max Holloway,Blue,Featherweight,3,22.0,172.72,170.18,20.0,180.34,175.26
3063,Dennis Bermudez,Tommy Hayden,Red,Featherweight,3,25.0,167.64,167.64,26.0,175.26,182.88
3064,Jared Hamman,Michael Kuiper,Blue,Middleweight,3,30.0,190.5,190.5,23.0,182.88,185.42
3065,Ken Stone,Erik Perez,Blue,Bantamweight,3,29.0,172.72,180.34,22.0,172.72,172.72
3066,Dustin Pague,Chico Camus,Blue,Bantamweight,3,25.0,175.26,187.96,27.0,167.64,167.64
3067,Nik Lentz,Eiji Mitsuoka,Red,Featherweight,3,27.0,172.72,172.72,36.0,170.18,182.88
3068,Mauricio Rua,Brandon Vera,Red,Light Heavyweight,5,30.0,185.42,193.04,34.0,190.5,193.04
3069,Lyoto Machida,Ryan Bader,Red,Light Heavyweight,3,34.0,185.42,187.96,29.0,187.96,187.96
3070,Joe Lauzon,Jamie Varner,Red,Lightweight,3,28.0,177.8,180.34,27.0,172.72,182.88
3071,Mike Swick,DaMarques Johnson,Red,Welterweight,3,33.0,185.42,195.58,30.0,185.42,190.5
3072,Cole Miller,Nam Phan,Blue,Featherweight,3,28.0,185.42,187.96,29.0,167.64,177.8
3073,Josh Grispi,Rani Yahya,Blue,Featherweight,3,23.0,180.34,187.96,27.0,167.64,170.18
3074,Philip De Fries,Oli Thompson,Red,Heavyweight,3,26.0,195.58,208.28,32.0,185.42,190.5
3075,Manvel Gamburyan,Michihiro Omigawa,Red,Featherweight,3,31.0,165.1,170.18,36.0,167.64,172.72
3076,John Moraga,Ulysses Gomez,Red,Flyweight,3,28.0,167.64,167.64,29.0,167.64,167.64
3077,Urijah Faber,Renan Barao,Blue,Bantamweight,5,33.0,167.64,170.18,25.0,167.64,177.8
3078,Hector Lombard,Tim Boetsch,Blue,Middleweight,3,34.0,175.26,180.34,31.0,182.88,187.96
3079,Cheick Kongo,Shawn Jordan,Red,Heavyweight,3,37.0,193.04,208.28,27.0,182.88,190.5
3080,Brian Ebersole,James Head,Blue,Welterweight,3,31.0,182.88,185.42,28.0,185.42,185.42
3081,Court McGee,Nick Ring,Blue,Middleweight,3,27.0,180.34,190.5,33.0,182.88,187.96
3082,Anthony Perosh,Ryan Jimmo,Blue,Light Heavyweight,3,39.0,190.5,190.5,30.0,185.42,185.42
3083,Bryan Caraway,Mitch Gagnon,Red,Bantamweight,3,27.0,172.72,172.72,27.0,165.1,165.1
3084,Antonio Carvalho,Daniel Pineda,Red,Featherweight,3,33.0,175.26,172.72,26.0,170.18,175.26
3085,Mitch Clarke,Anton Kuivanen,Blue,Lightweight,3,26.0,177.8,185.42,28.0,172.72,182.88
3086,Mark Munoz,Chris Weidman,Blue,Middleweight,5,34.0,182.88,182.88,28.0,187.96,198.12
3087,James Te Huna,Joey Beltran,Red,Light Heavyweight,3,30.0,187.96,190.5,30.0,185.42,190.5
3088,Aaron Simpson,Kenny Robertson,Red,Welterweight,3,37.0,182.88,185.42,28.0,177.8,187.96
3089,Karlos Vemola,Francis Carmont,Blue,Middleweight,3,27.0,182.88,190.5,30.0,190.5,198.12
3090,TJ Dillashaw,Vaughan Lee,Red,Bantamweight,3,26.0,167.64,170.18,29.0,167.64,167.64
3091,Rafael Dos Anjos,Anthony Njokuani,Red,Lightweight,3,27.0,172.72,177.8,32.0,185.42,190.5
3092,Damacio Page,Alex Caceres,Blue,Bantamweight,3,29.0,167.64,167.64,24.0,177.8,185.42
3093,Chris Cariaso,Josh Ferguson,Red,Flyweight,3,31.0,160.02,160.02,24.0,165.1,167.64
3094,Rafael Natal,Andrew Craig,Blue,Middleweight,3,29.0,182.88,193.04,26.0,185.42,193.04
3095,Marcelo Guimaraes,Dan Stittgen,Red,Welterweight,3,29.0,182.88,185.42,31.0,185.42,182.88
3096,Raphael Assuncao,Issei Tamura,Red,Bantamweight,3,29.0,165.1,167.64,28.0,165.1,160.02
3097,Anderson Silva,Chael Sonnen,Red,Middleweight,5,37.0,187.96,195.58,35.0,185.42,187.96
3098,Forrest Griffin,Tito Ortiz,Red,Light Heavyweight,3,33.0,190.5,195.58,37.0,190.5,187.96
3099,Cung Le,Patrick Cote,Red,Middleweight,3,40.0,175.26,175.26,32.0,180.34,180.34
3100,Dong Hyun Kim,Demian Maia,Blue,Welterweight,3,30.0,187.96,193.04,34.0,185.42,182.88
3101,Chad Mendes,Cody McKenzie,Red,Featherweight,3,27.0,167.64,167.64,24.0,182.88,182.88
3102,Ivan Menjivar,Mike Easton,Blue,Bantamweight,3,30.0,167.64,162.56,28.0,167.64,177.8
3103,Melvin Guillard,Fabricio Camoes,Red,Lightweight,3,29.0,175.26,172.72,33.0,177.8,185.42
3104,Gleison Tibau,Khabib Nurmagomedov,Blue,Lightweight,3,28.0,177.8,180.34,23.0,177.8,177.8
3105,Costas Philippou,Riki Fukuda,Red,Middleweight,3,32.0,180.34,185.42,31.0,182.88,185.42
3106,John Alessio,Shane Roller,Blue,Lightweight,3,33.0,177.8,182.88,32.0,177.8,182.88
3107,Rafaello Oliveira,Yoislandy Izquierdo,Red,Lightweight,3,30.0,172.72,180.34,28.0,180.34,182.88
3108,Wanderlei Silva,Rich Franklin,Blue,Catch Weight,5,35.0,180.34,187.96,37.0,185.42,190.5
3109,Cezar Ferreira,Sergio Moraes,Red,Middleweight,4,27.0,185.42,198.12,29.0,182.88,182.88
3110,Godofredo Pepey,Rony Jason,Blue,Featherweight,4,24.0,170.18,185.42,28.0,170.18,177.8
3111,Fabricio Werdum,Mike Russow,Red,Heavyweight,3,34.0,193.04,195.58,35.0,185.42,185.42
3112,Iuri Alcantara,Hacran Dias,Blue,Featherweight,3,31.0,175.26,180.34,28.0,172.72,175.26
3113,Anistavio Medeiros,Rodrigo Damm,Blue,Featherweight,3,24.0,167.64,182.88,32.0,170.18,180.34
3114,Delson Heleno,Francisco Trinaldo,Blue,Middleweight,3,34.0,180.34,182.88,33.0,175.26,177.8
3115,John Teixeira,Hugo Viana,Blue,Featherweight,3,25.0,170.18,182.88,29.0,167.64,170.18
3116,Thiago Perpetuo,Leonardo Mafra,Red,Middleweight,3,24.0,177.8,180.34,23.0,177.8,177.8
3117,Marcos Vinicius,Wagner Campos,Red,Featherweight,3,32.0,175.26,177.8,30.0,167.64,182.88
3118,Gray Maynard,Clay Guida,Red,Lightweight,5,33.0,175.26,177.8,30.0,170.18,177.8
3119,Sam Stout,Spencer Fisher,Red,Lightweight,3,28.0,175.26,177.8,36.0,170.18,177.8
3120,Brian Ebersole,TJ Waldburger,Red,Welterweight,3,31.0,182.88,185.42,24.0,180.34,190.5
3121,Ross Pearson,Cub Swanson,Blue,Featherweight,3,27.0,172.72,175.26,28.0,172.72,177.8
3122,Hatsu Hioki,Ricardo Lamas,Blue,Featherweight,3,28.0,180.34,177.8,30.0,172.72,180.34
3123,Ramsey Nijem,CJ Keith,Red,Lightweight,3,24.0,180.34,190.5,25.0,182.88,182.88
3124,Rick Story,Brock Jardine,Red,Welterweight,3,27.0,175.26,180.34,26.0,180.34,185.42
3125,Steven Siler,Joey Gambino,Red,Featherweight,3,25.0,180.34,177.8,23.0,170.18,182.88
3126,Nick Catone,Chris Camozzi,Blue,Middleweight,3,30.0,182.88,182.88,25.0,187.96,193.04
3127,Matt Brown,Luis Ramos,Red,Welterweight,3,31.0,182.88,190.5,31.0,172.72,182.88
