,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2555,TJ Dillashaw,Mike Easton,Red,Bantamweight,3,27.0,167.64,170.18,29.0,167.64,177.8
2556,Yoel Romero,Derek Brunson,Red,Middleweight,3,36.0,182.88,185.42,30.0,185.42,195.58
2557,John Moraga,Dustin Ortiz,Red,Flyweight,3,29.0,167.64,167.64,25.0,165.1,165.1
2558,Cole Miller,Sam Sicilia,Red,Featherweight,3,29.0,185.42,187.96,27.0,172.72,170.18
2559,Ramsey Nijem,Justin Edwards,Red,Lightweight,3,25.0,180.34,190.5,30.0,177.8,177.8
2561,Trevor Smith,Brian Houston,Red,Middleweight,3,33.0,190.5,190.5,32.0,187.96,198.12
2563,Vinc Pichel,Garett Whiteley,Red,Lightweight,3,31.0,177.8,182.88,33.0,182.88,182.88
2565,Tarec Saffiedine,Hyun Gyu Lim,Red,Welterweight,5,27.0,177.8,177.8,28.0,190.5,195.58
2566,Tatsuya Kawajiri,Sean Soriano,Red,Featherweight,3,35.0,170.18,175.26,24.0,175.26,177.8
2567,Kiichi Kunimoto,Luiz Dutra,Red,Welterweight,3,32.0,177.8,180.34,31.0,180.34,180.34
2568,Kyung Ho Kang,Shunichi Shimizu,Red,Bantamweight,3,26.0,175.26,185.42,28.0,165.1,167.64
2569,Max Holloway,Will Chope,Red,Featherweight,3,22.0,180.34,175.26,23.0,193.04,193.04
2570,Katsunori Kikuno,Quinn Mulhern,Red,Lightweight,3,32.0,172.72,167.64,29.0,190.5,193.04
2571,Royston Wee,Dave Galera,Red,Bantamweight,3,27.0,170.18,170.18,35.0,180.34,182.88
2572,Mairbek Taisumov,Tae Hyun Bang,Red,Lightweight,3,25.0,175.26,185.42,30.0,175.26,180.34
2573,Dustin Kimura,Jon Delos Reyes,Red,Bantamweight,3,24.0,170.18,180.34,26.0,167.64,170.18
2575,Chris Weidman,Anderson Silva,Red,Middleweight,5,29.0,187.96,198.12,38.0,187.96,195.58
2576,Ronda Rousey,Miesha Tate,Red,Women's Bantamweight,5,26.0,170.18,172.72,27.0,167.64,165.1
2578,Jim Miller,Fabricio Camoes,Red,Lightweight,3,30.0,172.72,180.34,35.0,177.8,185.42
2579,Dustin Poirier,Diego Brandao,Red,Featherweight,3,24.0,175.26,182.88,26.0,170.18,172.72
2582,John Howard,Siyar Bahadurzada,Red,Welterweight,3,30.0,170.18,180.34,29.0,180.34,185.42
2583,William Patolino,Bobby Voelker,Red,Welterweight,3,22.0,180.34,190.5,34.0,182.88,190.5
2584,Robert Peralta,Estevan Payan,Red,Featherweight,3,27.0,172.72,180.34,31.0,177.8,182.88
2585,Demetrious Johnson,Joseph Benavidez,Red,Flyweight,5,27.0,160.02,167.64,29.0,162.56,165.1
2586,Urijah Faber,Michael McDonald,Red,Bantamweight,3,34.0,167.64,170.18,22.0,175.26,177.8
2587,Chad Mendes,Nik Lentz,Red,Featherweight,3,28.0,167.64,167.64,29.0,172.72,172.72
2588,Joe Lauzon,Mac Danzig,Red,Lightweight,3,29.0,177.8,180.34,33.0,172.72,177.8
2591,Bobby Green,Pat Healy,Red,Lightweight,3,27.0,177.8,180.34,30.0,182.88,187.96
2593,Sam Stout,Cody McKenzie,Red,Lightweight,3,29.0,175.26,177.8,25.0,182.88,182.88
2594,Abel Trujillo,Roger Bowling,Red,Lightweight,3,30.0,172.72,177.8,31.0,175.26,172.72
2596,Mauricio Rua,James Te Huna,Red,Light Heavyweight,3,32.0,185.42,193.04,32.0,187.96,190.5
2597,Ryan Bader,Anthony Perosh,Red,Light Heavyweight,3,30.0,187.96,187.96,41.0,190.5,190.5
2601,Takeya Mizugaki,Nam Phan,Red,Bantamweight,3,29.0,170.18,172.72,30.0,167.64,177.8
2607,Julianna Pena,Jessica Rakoczy,Red,Women's Bantamweight,3,24.0,167.64,175.26,36.0,170.18,172.72
2608,Chris Holdsworth,Davey Grant,Red,Bantamweight,3,26.0,180.34,180.34,27.0,172.72,175.26
2609,Jessamyn Duke,Peggy Morgan,Red,Women's Bantamweight,3,27.0,180.34,185.42,33.0,185.42,177.8
2611,Akira Corassani,Maximo Blanco,Red,Featherweight,3,31.0,172.72,172.72,30.0,172.72,180.34
2613,Jared Rosholt,Walt Harris,Red,Heavyweight,3,27.0,187.96,190.5,30.0,195.58,195.58
