,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
2401,Renan Barao,TJ Dillashaw,Blue,Bantamweight,5,27.0,167.64,177.8,28.0,167.64,170.18
2405,Jamie Varner,James Krause,Blue,Lightweight,3,29.0,172.72,182.88,27.0,187.96,185.42
2409,Al Iaquinta,Mitch Clarke,Blue,Lightweight,3,27.0,177.8,177.8,28.0,177.8,185.42
2410,Anthony Njokuani,Vinc Pichel,Blue,Lightweight,3,34.0,185.42,190.5,31.0,177.8,182.88
2412,David Michaud,Li Jingliang,Blue,Welterweight,3,25.0,175.26,182.88,26.0,182.88,180.34
2415,Erik Koch,Daron Cruickshank,Blue,Lightweight,3,25.0,177.8,180.34,28.0,172.72,182.88
2421,Yan Cabral,Zak Cummings,Blue,Welterweight,3,30.0,180.34,185.42,29.0,182.88,190.5
2422,Eddie Wineland,Johnny Eduardo,Blue,Bantamweight,3,29.0,170.18,175.26,35.0,170.18,180.34
2423,Manvel Gamburyan,Nik Lentz,Blue,Featherweight,3,33.0,165.1,170.18,29.0,172.72,172.72
2425,Anthony Lapsley,Albert Tumenov,Blue,Welterweight,3,34.0,175.26,180.34,22.0,180.34,185.42
2427,Phil Davis,Anthony Johnson,Blue,Light Heavyweight,3,29.0,187.96,200.66,30.0,187.96,198.12
2433,Jessamyn Duke,Bethe Correia,Blue,Women's Bantamweight,3,27.0,180.34,185.42,30.0,165.1,162.56
2439,Brad Tavares,Yoel Romero,Blue,Middleweight,3,26.0,185.42,187.96,36.0,182.88,185.42
2440,Rafael Dos Anjos,Khabib Nurmagomedov,Blue,Lightweight,3,29.0,172.72,177.8,25.0,177.8,177.8
2443,Estevan Payan,Alex White,Blue,Featherweight,3,32.0,177.8,182.88,25.0,182.88,180.34
2449,Michael Bisping,Tim Kennedy,Blue,Middleweight,5,35.0,185.42,190.5,34.0,180.34,187.96
2451,Sheldon Westcott,Elias Theodorou,Blue,Middleweight,3,29.0,185.42,180.34,25.0,185.42,190.5
2454,Sam Stout,KJ Noons,Blue,Welterweight,3,29.0,175.26,177.8,31.0,177.8,182.88
2462,Minotauro Nogueira,Roy Nelson,Blue,Heavyweight,5,37.0,190.5,195.58,37.0,182.88,182.88
2464,John Howard,Ryan LaFlare,Blue,Welterweight,3,31.0,170.18,180.34,30.0,185.42,187.96
2468,Alan Omer,Jim Alers,Blue,Featherweight,3,25.0,177.8,180.34,27.0,175.26,180.34
2469,Mauricio Rua,Dan Henderson,Blue,Light Heavyweight,5,32.0,185.42,193.04,43.0,180.34,187.96
2470,Cezar Ferreira,CB Dollaway,Blue,Middleweight,3,29.0,185.42,198.12,30.0,187.96,193.04
2474,Ronny Markes,Thiago Santos,Blue,Middleweight,3,25.0,185.42,190.5,30.0,187.96,193.04
2476,Thiago Perpetuo,Kenny Robertson,Blue,Welterweight,3,26.0,177.8,180.34,30.0,177.8,187.96
